_measurement,context_id,_metric_report,_time,_value
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:07:09Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:07:14Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:07:19Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:07:23Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:07:28Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:07:33Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:07:38Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:07:42Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:07:47Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:07:52Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:07:57Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:08:01Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:08:06Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:08:11Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:08:16Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:08:20Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:08:25Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:08:30Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:08:35Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:08:39Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:08:44Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:08:49Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:08:54Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:08:58Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:09:03Z,0
dell_poweredge_MemoryUsage,SystemUsage,SystemUsage,2022-02-07T08:09:08Z,0
