_measurement,context_id,_metric_report,_time,_value
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:05:15Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:05:20Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:05:25Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:05:29Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:05:34Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:05:39Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:05:44Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:05:49Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:05:53Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:05:58Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:06:03Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:06:08Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:06:13Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:06:17Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:06:22Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:06:27Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:06:32Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:06:37Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:06:42Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:06:47Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:06:52Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:06:57Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:07:02Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:07:05Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:07:10Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:07:15Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:07:20Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:07:25Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:07:28Z,47
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:07:33Z,47
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:07:38Z,47
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:07:43Z,47
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:07:52Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:07:57Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:08:02Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:08:07Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:08:12Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:08:17Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:08:22Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:08:27Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:08:32Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:08:37Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:08:40Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:08:45Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:08:50Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:08:55Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:09:00Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:09:04Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:09:09Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:09:14Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:09:19Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:09:24Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:09:28Z,47
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:09:33Z,47
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:09:38Z,47
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:09:43Z,47
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:09:48Z,47
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:09:52Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:09:57Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:10:02Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:10:07Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:10:12Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:10:16Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:10:21Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:10:26Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:10:31Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:10:36Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:10:40Z,47
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:10:45Z,47
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:10:50Z,47
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:10:55Z,47
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:11:00Z,47
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:11:04Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:11:09Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:11:14Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:11:19Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:11:24Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:11:28Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:11:33Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:11:38Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:11:43Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:11:48Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:11:52Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:11:57Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:12:02Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:12:07Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:12:12Z,48
dell_poweredge_TemperatureReading,CPU1 Temp,CPUSensor,2022-02-07T08:12:16Z,48
